,State,Region,Cigarette Use.Adult.Smokers,Cigarette Use.Adult.Tried to Quit,Social Determinants.Consumed 1 or More Fruits per Day,Social Determinants.Consumed 1 or More Vegetables per Day,Social Determinants.Had a Mammogram in Past 2 Years,Social Determinants.Healthy Weight (BMI 18.5 to <25),Social Determinants.No Leisure Time Physical Activity,Social Determinants.Received at Least One Recommended CRC Test,State Demographics.Population,State Demographics.Population.65 and Older,State Demographics.Population.18 and Younger,State Demographics.Education.Bachelor's Degree or Higher,State Demographics.Employment.Firms.Total,State Demographics.Ethnicities.Black,State Demographics.Ethnicities.Hispanic,State Demographics.Ethnicities.White,State Demographics.Housing.Households with Internet,State Demographics.Income.Median Houseold Income,State Demographics.Income.Per Capita Income,State Demographics.Income.Persons Below Poverty Level,State Demographics.Miscellaneous.Language Other than English at Home,State Demographics.Miscellaneous.Under 65 Years Witout Health Insurance,State Demographics.Miscellaneous.Under 66 Years With a Disability,State Demographics.Sales.Accommodation and Food Services Sales,State Demographics.Sales.Retail Sales,Cancer Death Rate.Total,Cancer Death Rate.Breast,Cancer Death Rate.Colorectal,Cancer Death Rate.Lung
0,Alabama,Southeast,117.51397563710137,84.83426179159238,541.9999566106898,794.0000943418946,706.0000051748718,253.0000822008491,290.99996238266226,677.0000232869234,5024279,172.99994685804668,222.00001234007905,254.99997114013772,74.4689934615494,268.00004537964554,46.000033039566475,691.0000419960754,763.9999689507689,10.05835862220231,5.558608508802955,154.99995123678443,53.000042394142525,117.00007105497127,115.999927551794,1507.9699992775084,11656.391892249614,2.142,0.274,0.194,0.664
1,Alaska,West,111.81620718007174,72.8083655239838,578.9994695871643,815.0004567822622,624.9994886765722,291.0002986128818,209.00038315168854,621.9997245671136,733391,125.00017044114259,245.99974638357983,296.0003599716931,92.76361449758724,36.99936323189131,73.00062313281728,652.9995595800875,854.9995841236121,105.86440248107762,50.16014649757087,100.99933050719193,161.00006681292788,138.9995241283299,89.00027406935727,3028.855003674711,14281.979189818256,1.281,0.178,0.119,0.366
2,Arizona,West,92.54936934926397,51.74703160259202,583.9999765084314,784.0000604068907,671.9999518982166,304.99998461861577,213.00001034747666,617.0000371949836,7151502,179.9999496609244,225.00000699153827,294.9999874152311,69.90503533383617,51.999985457600374,316.9999812626774,826.0000486611065,840.9999745508006,8.242324479528916,4.29196551997049,135.0000321610761,270.99999412710787,135.99996196603175,87.00004558482959,1957.1601881674646,11845.978928622268,1.656,0.233,0.149,0.423
3,Arkansas,Southwest,129.0147446940486,72.30359113857303,545.9999654659899,795.9999654659899,687.0000039846934,251.0001580595074,324.9999003826634,639.9998804591961,3011524,173.9999415578292,232.0001434489647,230.00015938773856,77.02379260467458,156.99991100851264,78.00004250339695,790.0000132823116,730.0001593877386,15.804954567853352,8.825099849777056,162.00003719047234,74.9999003826634,108.99996148129651,125.99999203061307,1430.2605591056222,12224.792497087854,2.239,0.279,0.212,0.733
4,California,West,66.89311757890586,36.92090562593064,637.9999930699971,775.0000044260968,671.0000092821572,330.00001036971236,228.99999830543726,614.9999963326627,39538223,147.99999989883207,224.99999557390325,339.00001019266847,89.74730604357207,64.99998748046922,394.0000034902934,718.9999914766023,866.9999913754343,1.9028422192873968,0.9346651719780122,117.99999205831784,442.0000109767199,89.00000386967315,67.0000014922269,2297.2800775593782,12185.68828953188,1.509,0.23,0.14,0.345
5,Colorado,Mountain-Plains,79.32537011705118,51.69584084005547,619.0000058887572,813.9999660530466,655.9999334916831,366.9999934184478,175.0000086599371,655.0000571555847,5773714,145.999957739507,218.99993660926052,408.9999954968327,94.8006776920367,46.00002701900371,218.00006027316212,868.9999192893863,875.9999196357838,12.527638189214082,6.620695101974223,92.99993037410582,169.00005784837975,92.99993037410582,71.99992933491336,2358.560538329401,11745.507311238485,1.39,0.207,0.127,0.318
6,Connecticut,Northeast,70.4359246843545,55.74934053329724,646.000048808301,799.9999445360216,761.9999090390755,314.99990016483895,255.0000776495697,753.0000465897418,3605944,176.99997559584952,204.00011758363414,393.00000221855913,90.59846741934983,121.99995341025817,169.0001286764298,796.9998979462798,854.999966721613,21.75408159416785,12.339625906558727,99.99988907204327,223.00013533210722,69.99997781440865,74.00003993406442,2646.20526552825,14318.71016299754,1.905,0.267,0.156,0.49
7,Delaware,Mid-Atlantic,96.12323071514868,65.01452601550788,603.0003596148484,795.0003434523834,737.0003272899182,262.99967271008177,259.999515126047,701.000456589639,989948,194.00008889355806,208.99986665966293,319.99963634453525,74.16349141571072,232.0000646498604,95.99999191876745,691.999983837535,850.0002020308137,68.98039088921843,35.80996173536388,112.99987474089548,132.99991514705823,81.00021415266256,86.9995191666633,2170.2523768925234,14602.788227260422,2.102,0.28,0.176,0.627
8,District of Columbia,Mid-Atlantic,76.41705762495559,56.406760980066565,671.9996519443981,834.000681608887,702.0005945949865,405.9996084374479,152.00023203706792,708.0002030324345,689545,124.0006090973033,181.99972445598183,585.0002537905431,91.95629001733028,460.0004350695024,113.00060184614492,460.0004350695024,825.9997534606154,125.32902131115446,81.42615782871313,135.00061634846168,172.00037706023537,38.999630190923,84.99952867470579,7398.50481114358,6438.931469302221,1.821,0.313,0.175,0.416
9,Florida,Southeast,82.31384563612527,60.25651091245517,0.0,0.0,711.000001996454,316.99998704626347,253.9999768782767,670.9999778532891,21538187,208.99999614637946,197.0000074750953,299.0000040393372,97.50992504615175,169.0000184323778,263.9999829140679,773.0000208466943,829.9999902498757,2.5842472256369584,1.4680437123143188,127.00001165371997,294.0000010214416,162.9999776675725,85.99999619280861,2313.0045718332744,12715.422379794549,2.192,0.287,0.196,0.63
