State,State Demographics.Population,State Demographics.Population.65 and Older,State Demographics.Population.18 and Younger,State Demographics.Education.Bachelor's Degree or Higher,State Demographics.Employment.Firms.Total,State Demographics.Ethnicities.Black,State Demographics.Ethnicities.Hispanic,State Demographics.Ethnicities.White,State Demographics.Housing.Households with Internet,State Demographics.Income.Median Houseold Income,State Demographics.Income.Per Capita Income,State Demographics.Income.Persons Below Poverty Level,State Demographics.Miscellaneous.Language Other than English at Home,State Demographics.Miscellaneous.Under 65 Years Witout Health Insurance,State Demographics.Miscellaneous.Under 66 Years With a Disability,State Demographics.Sales.Accommodation and Food Services Sales,State Demographics.Sales.Retail Sales
Connecticut,3605944,638252,735613,1417136,326693,439925,609405,2873937,3083082,78444,44496,360594,804126,252416,266840,9542068,51632467
Delaware,989948,192050,206899,316783,73418,229668,95035,685044,841456,68287,35450,111864,131663,80186,86125,2148437,14456001
District of Columbia,689545,85504,125497,403384,63408,317191,77919,317191,569564,86420,56147,93089,118602,26892,58611,5101602,4439933
Florida,21538187,4501481,4243023,6439918,2100187,3639954,5686081,16649019,17876695,55660,31619,2735350,6332227,3510724,1852284,49817925,273867145
Georgia,10711908,1531803,2528010,3352827,929864,3492082,1060479,6448569,8708781,58700,31067,1424684,1499667,1660346,931936,18976611,119801495
Hawaii,1455271,276501,308517,480239,118454,32016,155714,371094,1234070,81275,35567,135340,387102,72764,93137,9536706,18901745
Alabama,5024279,869200,1115390,1281191,374153,1346507,231117,3471777,3838549,50536,27928,778763,266287,587841,582816,7576462,58564965
Alaska,733391,91674,180414,217084,68032,27135,53538,478904,627049,77640,36787,74072,118076,101941,65272,2221335,10474275
Arizona,7151502,1287270,1609088,2109693,499926,371878,2267026,5907141,6014413,58945,30694,965453,1938057,972604,622181,13996635,84716542
Arkansas,3011524,524005,698674,692651,231959,472809,234899,2379104,2198413,47597,26577,487867,225864,328256,379452,4307264,36815256
California,39538223,5851657,8896100,13403458,3548449,2569984,15578060,28427982,34279639,75235,36955,4665510,17475895,3518902,2649061,90830372,481800461
Colorado,5773714,842962,1264443,2361449,547352,265591,1258670,5017357,5057773,72331,38226,536955,975758,536955,415707,13617654,67815200
Louisiana,4657757,740583,1089915,1122519,414291,1527744,246861,2925071,3516607,49469,27923,884974,372621,489064,517011,11697949,61396364
Maine,1362359,288820,252036,433230,139570,23160,24522,1286067,1118497,57918,32637,148497,83104,137598,159396,2901347,21521714
Montana,1084225,209255,232024,346952,112419,6505,44453,963876,874970,54970,31151,136612,45537,110591,99749,2420455,15623573
Nebraska,1961504,317764,482530,625720,164089,101998,223611,1728085,1635894,61439,32302,194189,225573,192227,152997,3094498,30470717
Nevada,3104614,499843,698538,766840,227156,319775,906547,2294310,2583039,60365,31557,388077,943803,416018,266997,27481505,38234170
New Hampshire,1377529,257598,258975,509686,131638,24796,55101,1282479,1208093,76768,40003,100560,110202,104692,123978,2942278,26018201
Idaho,1839106,299774,461616,507593,146642,16552,235406,1710369,1520941,55785,27970,205980,200463,235406,176554,2680225,20444278
Illinois,12812508,2062814,2844377,4445940,1135017,1870626,2242189,9840006,10595944,65886,36038,1473438,2972502,1101876,922501,27937381,166634514
Indiana,6785528,1092470,1581028,1798165,479059,671767,495344,5754128,5435208,56303,29777,807478,597126,698909,658196,13076602,85857962
Iowa,3190369,558315,733785,912446,259121,130805,200993,2890474,2577818,60523,32176,357321,264801,191422,252039,5468687,44905624
